จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,พรรค,คะแนน
นครศรีธรรมราช,2,1,,,,33,33,0
นครศรีธรรมราช,2,1,,,,34,34,1
นครศรีธรรมราช,2,,,,,35,35,0
นครศรีธรรมราช,2,,,,,36,36,0
นครศรีธรรมราช,2,,,,,37,37,61
นครศรีธรรมราช,2,,,,,38,38,0
นครศรีธรรมราช,2,,,,,39,39,0
นครศรีธรรมราช,2,,,,,40,40,0
นครศรีธรรมราช,2,,,,,41,41,0
นครศรีธรรมราช,2,,,,,42,42,8
นครศรีธรรมราช,2,,,,,43,43,0
นครศรีธรรมราช,2,,,,,44,44,0
นครศรีธรรมราช,2,,,,,45,45,0
นครศรีธรรมราช,2,,,,,46,46,393
นครศรีธรรมราช,2,,,,,47,47,1
นครศรีธรรมราช,2,,,,,48,48,2
นครศรีธรรมราช,2,,,,,49,49,1
นครศรีธรรมราช,2,,,,,50,50,0
นครศรีธรรมราช,2,,,,,51,51,1
นครศรีธรรมราช,2,,,,,52,52,0
นครศรีธรรมราช,2,,,,,53,53,0
นครศรีธรรมราช,2,,,,,54,54,2
นครศรีธรรมราช,2,,,,,55,55,0
นครศรีธรรมราช,2,,,,,56,56,0
นครศรีธรรมราช,2,,,,,57,57,0
