จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,7,นายปัญโน หวานนุรักษ์,พลวัต,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,158
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,12
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,78
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,4,นายเจริญ ชินวงศ์,กล้าธรรม,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,5,นายจรยุทธ มาศบำรุง,ประชาชน,47
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,7,นายปัญโน หวานนุรักษ์,พลวัต,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,4
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,4,2,505,352,460,352,309,9,34,108,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,284
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,12
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,122
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,5,3,782,550,740,550,496,16,38,190,4,นายเจริญ ชินวงศ์,กล้าธรรม,16
